uuid,first_name,last_name,born_on,bio,api_path,first_name1,last_name1,born_on1,bio1,api_path1,first_name2,last_name2,born_on2,bio2,api_path2,first_name3,last_name3,born_on3,bio3,api_path3,first_name4,last_name4,born_on4,bio4,api_path4,first_name5,last_name5,born_on5,bio5,api_path5,first_name6,last_name6,born_on6,bio6,api_path6,first_name7,last_name7,born_on7,bio7,api_path7
c87dc5fbefcb4c41b323db6c349193e9,Jason,Murphy,,"Prior to co-founding Data Driven Safety in 2009, Jason was employed by Ingersoll Rand Company as the Vice President and General Counsel of its Club Car business unit, General Counsel for its Construction Technologies Sector, and General Counsel for all enterprise operations in Latin America. Jason also served as a North Carolina prosecutor for several years, where he handled cases involving child victims and was able to obtain authorization to initiate the stateâ€™s second non-federal wiretap program. Jason proudly flew on several occasions in law enforcement helicopters and still wishes that he had played Augusta National while at Club Car. He graduated with honors from Duke University School of Law and the University of Tennessee, where he was named poet laureate.",https://api.crunchbase.com/v3.1/people/jason-murphy-0c08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d0f65b4791349da92b427af0e25508a,Clay,Braswell,,Clay is the Founder & CEO of Commit Good. A social entrepreneur with over 15 years experience in applying technology solutions to charitable organizations. He has designed and built multiple large-scale enterprise grade applications that have had real-life community impact. He believes the blockchain represents a paradigm shift for charitable giving and seeks to build a global charitable economy. Clay is a graduate of the University of Alabama and Winner of the Colgan Bryan Award for Outstanding Work in Science and Technology.,https://api.crunchbase.com/v3.1/people/clay-braswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b039d9a57ba24973918e09b80736dc79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94227433914e424baf7089d248c11800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74c42d18d97f40598cb10b90b5bf4a41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8327ff385f14ede9464e186612cf9ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75cfd95d15864f288f4b16e1f3cd17e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d52766f46e24c7686a34effc742376a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162e0d0069bf4245b0b1d4b9a1eb8287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59c5fe292f4c44a4a75cf1282dc86828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41beefe2a17f472590c5d23da17a4ba7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42f8a10e4ce64fa5aa8e9b27f68a2bfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5fc5259e36a45a3931892a7a1839772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08d2b4e141834253aa8de0856182b972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3dfefe8d50804e078da95c53d892b4eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a96e032bb5234843bdf27afe339c36a2,Adam,Ismail,,,https://api.crunchbase.com/v3.1/people/adam-ismail,Sophia,Su,,"Sophia Su is a product manager for Citrix focused on platform and collaboration. Sophia leads the Lean Innovation Challenge for Citrix and is an alumni of the Innovatorâ€™s Program. Sophia attended undergrad at UNC and has an MBA from NC State.",https://api.crunchbase.com/v3.1/people/sophia-su,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b865b4265ef340c296890a7b7f39369f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f84b7877ad048d99a64cce185e9b479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7f78f3fface4a24af1c416506e0bbbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
